2020-08-06 22:38:33 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:33 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:33 install libgcc1:arm64 <none> 1:8-20180414-1ubuntu2
2020-08-06 22:38:33 status half-installed libgcc1:arm64 1:8-20180414-1ubuntu2
2020-08-06 22:38:33 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2020-08-06 22:38:33 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2020-08-06 22:38:33 install libgcrypt20:arm64 <none> 1.8.1-4ubuntu1
2020-08-06 22:38:33 status half-installed libgcrypt20:arm64 1.8.1-4ubuntu1
2020-08-06 22:38:33 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
2020-08-06 22:38:33 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
2020-08-06 22:38:33 install libgpg-error0:arm64 <none> 1.27-6
2020-08-06 22:38:33 status half-installed libgpg-error0:arm64 1.27-6
2020-08-06 22:38:33 status unpacked libgpg-error0:arm64 1.27-6
2020-08-06 22:38:33 status unpacked libgpg-error0:arm64 1.27-6
2020-08-06 22:38:33 install liblz4-1:arm64 <none> 0.0~r131-2ubuntu3
2020-08-06 22:38:33 status half-installed liblz4-1:arm64 0.0~r131-2ubuntu3
2020-08-06 22:38:33 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2020-08-06 22:38:33 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2020-08-06 22:38:33 install liblzma5:arm64 <none> 5.2.2-1.3
2020-08-06 22:38:33 status half-installed liblzma5:arm64 5.2.2-1.3
2020-08-06 22:38:33 status unpacked liblzma5:arm64 5.2.2-1.3
2020-08-06 22:38:33 status unpacked liblzma5:arm64 5.2.2-1.3
2020-08-06 22:38:34 install libmount1:arm64 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:38:34 status half-installed libmount1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:34 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:34 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:34 install libncurses5:arm64 <none> 6.1-1ubuntu1
2020-08-06 22:38:34 status half-installed libncurses5:arm64 6.1-1ubuntu1
2020-08-06 22:38:34 status unpacked libncurses5:arm64 6.1-1ubuntu1
2020-08-06 22:38:34 status unpacked libncurses5:arm64 6.1-1ubuntu1
2020-08-06 22:38:34 install libncursesw5:arm64 <none> 6.1-1ubuntu1
2020-08-06 22:38:34 status half-installed libncursesw5:arm64 6.1-1ubuntu1
2020-08-06 22:38:34 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2020-08-06 22:38:34 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2020-08-06 22:38:34 install libpam-modules:arm64 <none> 1.1.8-3.6ubuntu2
2020-08-06 22:38:34 status half-installed libpam-modules:arm64 1.1.8-3.6ubuntu2
2020-08-06 22:38:34 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
2020-08-06 22:38:34 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
2020-08-06 22:38:35 install libpam-modules-bin:arm64 <none> 1.1.8-3.6ubuntu2
2020-08-06 22:38:35 status half-installed libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2020-08-06 22:38:35 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2020-08-06 22:38:35 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2020-08-06 22:38:35 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2020-08-06 22:38:35 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2020-08-06 22:38:35 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2020-08-06 22:38:35 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2020-08-06 22:38:35 install libpam0g:arm64 <none> 1.1.8-3.6ubuntu2
2020-08-06 22:38:35 status half-installed libpam0g:arm64 1.1.8-3.6ubuntu2
2020-08-06 22:38:35 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2020-08-06 22:38:35 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2020-08-06 22:38:35 install libpcre3:arm64 <none> 2:8.39-9
2020-08-06 22:38:35 status half-installed libpcre3:arm64 2:8.39-9
2020-08-06 22:38:35 status unpacked libpcre3:arm64 2:8.39-9
2020-08-06 22:38:35 status unpacked libpcre3:arm64 2:8.39-9
2020-08-06 22:38:35 install libprocps6:arm64 <none> 2:3.3.12-3ubuntu1
2020-08-06 22:38:35 status half-installed libprocps6:arm64 2:3.3.12-3ubuntu1
2020-08-06 22:38:35 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2020-08-06 22:38:35 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2020-08-06 22:38:35 install libselinux1:arm64 <none> 2.7-2build2
2020-08-06 22:38:35 status half-installed libselinux1:arm64 2.7-2build2
2020-08-06 22:38:35 status unpacked libselinux1:arm64 2.7-2build2
2020-08-06 22:38:35 status unpacked libselinux1:arm64 2.7-2build2
2020-08-06 22:38:35 install libsemanage-common:all <none> 2.7-2build2
2020-08-06 22:38:35 status half-installed libsemanage-common:all 2.7-2build2
2020-08-06 22:38:35 status unpacked libsemanage-common:all 2.7-2build2
2020-08-06 22:38:35 status unpacked libsemanage-common:all 2.7-2build2
2020-08-06 22:38:35 install libsemanage1:arm64 <none> 2.7-2build2
2020-08-06 22:38:35 status half-installed libsemanage1:arm64 2.7-2build2
2020-08-06 22:38:36 status unpacked libsemanage1:arm64 2.7-2build2
2020-08-06 22:38:36 status unpacked libsemanage1:arm64 2.7-2build2
2020-08-06 22:38:36 install libsepol1:arm64 <none> 2.7-1
2020-08-06 22:38:36 status half-installed libsepol1:arm64 2.7-1
2020-08-06 22:38:36 status unpacked libsepol1:arm64 2.7-1
2020-08-06 22:38:36 status unpacked libsepol1:arm64 2.7-1
2020-08-06 22:38:36 install libsmartcols1:arm64 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:38:36 status half-installed libsmartcols1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:36 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:36 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:36 install libss2:arm64 <none> 1.44.1-1
2020-08-06 22:38:36 status half-installed libss2:arm64 1.44.1-1
2020-08-06 22:38:36 status unpacked libss2:arm64 1.44.1-1
2020-08-06 22:38:36 status unpacked libss2:arm64 1.44.1-1
2020-08-06 22:38:36 install libsystemd0:arm64 <none> 237-3ubuntu10
2020-08-06 22:38:36 status half-installed libsystemd0:arm64 237-3ubuntu10
2020-08-06 22:38:36 status unpacked libsystemd0:arm64 237-3ubuntu10
2020-08-06 22:38:36 status unpacked libsystemd0:arm64 237-3ubuntu10
2020-08-06 22:38:36 install libtinfo5:arm64 <none> 6.1-1ubuntu1
2020-08-06 22:38:36 status half-installed libtinfo5:arm64 6.1-1ubuntu1
2020-08-06 22:38:36 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2020-08-06 22:38:36 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2020-08-06 22:38:36 install libudev1:arm64 <none> 237-3ubuntu10
2020-08-06 22:38:36 status half-installed libudev1:arm64 237-3ubuntu10
2020-08-06 22:38:37 status unpacked libudev1:arm64 237-3ubuntu10
2020-08-06 22:38:37 status unpacked libudev1:arm64 237-3ubuntu10
2020-08-06 22:38:37 install libuuid1:arm64 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:38:37 status half-installed libuuid1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:37 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:37 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:37 install libzstd1:arm64 <none> 1.3.3+dfsg-2ubuntu1
2020-08-06 22:38:37 status half-installed libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2020-08-06 22:38:37 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2020-08-06 22:38:37 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2020-08-06 22:38:37 install login:arm64 <none> 1:4.5-1ubuntu1
2020-08-06 22:38:37 status half-installed login:arm64 1:4.5-1ubuntu1
2020-08-06 22:38:37 status unpacked login:arm64 1:4.5-1ubuntu1
2020-08-06 22:38:37 status unpacked login:arm64 1:4.5-1ubuntu1
2020-08-06 22:38:37 install lsb-base:all <none> 9.20170808ubuntu1
2020-08-06 22:38:37 status half-installed lsb-base:all 9.20170808ubuntu1
2020-08-06 22:38:37 status unpacked lsb-base:all 9.20170808ubuntu1
2020-08-06 22:38:37 status unpacked lsb-base:all 9.20170808ubuntu1
2020-08-06 22:38:37 upgrade mawk:arm64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2020-08-06 22:38:37 status half-configured mawk:arm64 1.3.3-17ubuntu3
2020-08-06 22:38:37 status unpacked mawk:arm64 1.3.3-17ubuntu3
